col_name,Présent,Imparfait,Passé simple,Passé composé,Futur,Plus que parfait,date,canon,subgenre
1877_Pont-Jest-Rene-de_Le-N°13-de-la-rue-Marlot,2797,1260,959,705,135,473,1877,0,2
1838_Wey-Francis_Les-enfants-du-marquis-de-Ganges-ou-Les-expiations,3273,165,1412,495,149,17,1838,0,
1829_Merimee-Prosper_Mateo-Falcone,270,88,105,50,22,14,1829,1,4
1847_Collin-de-Plancy-Jacques_Legende-du-Juif-Errant,5429,2089,1815,1112,422,450,1847,0,3
1877_Malot-Hector_Comte-du-Pape,5914,2503,1218,1090,258,827,1877,0,5
1843_Balzac-Honore-de_Le-Pere-Goriot,6930,1405,1474,1066,388,276,1843,1,5
1909_Zevaco-Michel_Le-Pont-des-soupirs,7561,1969,3359,1404,429,531,1909,0,1
1862_Segur-comtesse-de_La-soeur-de-Gribouille,2233,528,1013,314,140,133,1862,0,6
1845_Balzac-Honore-de_L-Enfant-maudit,1557,1015,760,240,73,198,1845,1,3
1884_Ferry-Gabriel_Le-coureur-des-bois-ou-les-chercheurs-d'or_2,7320,3260,2807,1325,456,835,1884,0,1
2012_Echenoz-Jean_14,620,335,10,419,15,61,2012,1,3
1996_Rolin-Jean_L-Organisation,1255,1037,371,363,27,228,1996,1,7
1879_Vignon-Claude_Revoltee,5017,2213,1155,928,286,413,1879,0,3
1879_La-Landelle-Guillaume-Joseph-Gabriel-de_Une-Haine-a-bord,4706,1511,1424,772,279,304,1879,0,1
2000_Bouraoui-Nina_Garcon-Manque,264,0,0,9,4,0,2000,0,7
1879_Aimard-Gustave_Le-fils-du-Soleil,3475,834,1331,438,217,202,1879,0,1
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen,4648,1954,1017,1190,243,661,1887,0,2
1923_Chateaubriant-Alphonse-de_La-Briere,4148,3276,1511,737,101,417,1923,0,
1928_Delly_Cœurs-ennemis-Laquelle,2913,1333,1067,455,215,223,1928,0,8
1847_Sand-George_Le-peche-de-M-Antoine,11004,2516,1772,1782,611,515,1847,1,
1856_Sales-Pierre_Le-sergent-Renaud-Aventures-parisiennes,2231,1106,733,512,154,301,1856,0,
2004_Damasio-Alain_La-Horde-du-Contrevent,4695,665,468,730,184,126,2004,0,13
1895_Gide-Andre_Paludes,2322,267,155,207,56,20,1895,1,
1954_San-Antonio_Bas-les-pattes,4233,211,10,592,58,23,1954,0,9
1953_San-Antonio_Des-clientes-pour-la-morgue,5003,193,12,615,84,40,1953,0,9
1882_Ricouard-Gustave_Vast-Ricouard-Pour-ces-dames,2244,1032,805,380,98,309,1882,0,4
1964_Simenon-Georges_Maigret-et-le-fantome,2621,880,233,805,55,145,1964,1,2
2001_Daeninckx-Didier_12-rue-Meckert,2471,960,53,1795,42,241,2001,1,2
1931_Simenon-Georges_La-tete-d-un-homme,2282,1013,660,599,93,175,1931,1,2
1958_San-Antonio_En-long-en-large-et-en-travers,3910,193,24,599,54,24,1958,0,9
2012_Leger-Nathalie_Supplement-a-la-vie-de-Barbara-Loden,2043,228,34,354,35,55,2012,0,
1878_La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm,1870,499,599,272,177,82,1878,0,1
1973_Ionesco-Eugene_Le-solitaire,3518,1753,295,380,83,256,1973,1,
2009_Michon-Pierre_Les-Onze,1419,406,190,178,17,83,2009,1,3
1948_Veuzit-Max-du_Sainte-Sauvage,5178,1657,1110,974,347,348,1948,0,8
1886_Hervilly-Ernest-d-_Le-Chat-du-Neptune,0,0,0,0,0,0,1886,0,1
1906_Bordeaux-Henry_Les-Roquevillard,3364,1432,1048,501,190,260,1906,0,
2007_Modiano-Patrick_Dans-le-cafe-de-la-jeunesse-perdue,1440,1202,3,872,10,318,2007,1,
1903_Colette_Claudine-s-en-va,4045,190,39,414,127,24,1903,1,5
1927_Kessel-Joseph_Les-coeurs-purs,1652,1025,670,231,65,171,1927,1,4
1924_Radiguet-Raymond_Le-Bal-du-comte-d-Orgel,1645,1423,695,212,43,182,1924,1,
1923_Istrati-Panait_Les-recits-d-Adrien-Zograffi_I,2600,1186,913,344,101,113,1923,0,1
1997_Ernaux-Annie_La-honte,981,341,3,276,17,27,1997,1,
1969_Simenon-Georges_Maigret-et-le-tueur,2920,1269,435,712,102,153,1969,1,2
1869_Pillon-Alexandre_Les-Contes-noirs,3204,1230,766,455,106,124,1869,0,
1918_Genestoux-Magdeleine-du_Noemie-Hollemechette-Journal-d-une-petite-refugiee-belge,3025,972,381,1033,132,173,1918,0,journal intime
1888_Rachilde_La-Marquise-de-Sade,3937,2578,1352,487,208,296,1888,1,
1887_Guy-de-Maupassant_Mont-Oriol,0,0,0,0,0,0,1887,1,
1961_San-Antonio_De-A-jusqu-a-Z,4253,244,13,585,80,60,1961,0,9
1884_Le-Roy-Albert_L-Amour-sans-phrase,2222,1600,1332,466,76,432,1884,0,4
1893_Segur-Anatole-de_Les-Enfants-de-Paris,3259,522,464,417,100,109,1893,0,non-fiction
1968_Dhotel-Andre_L-Enfant-qui-disait-n-importe-quoi,1524,1091,942,263,69,172,1968,1,6
1875_Zola-Emile_La-faute-de-l-abbe-Mouret,5920,4684,2107,928,270,478,1875,1,5
1980_Siniac-Pierre_L-unijambiste-de-la-cote-284,3686,1308,472,628,122,307,1980,0,2
1911_Leblanc-Maurice_La-frontiere,3989,1218,1263,584,196,225,1911,0,2
1845_Balzac-Honore-de_Maitre-Cornelius,928,527,501,202,49,89,1845,1,3
1853_Zaccone-Pierre_Eric-le-mendiant,1296,556,401,279,62,130,1853,0,
1846_Balzac-Honore-de_La-Grenadiere,356,232,139,67,19,23,1846,1,5
